,guestToilet,bedrooms,paymentPlan,generator,latitude,description,price,boysQuarter,outdoorKitchen,garden,longitude,parkingSpace,id,waterTank,kitchen,bathrooms,outdoorToilet,furnished,holidayApartment,airConditioning,swimmingPool,locality,masterBedroom,name
0,False,3,yearly,False,13.400521,3 Bedroom family apartment,130000.0,False,False,False,-16.731424,True,cj9r9f7tj43kb0146v1y0hpu8,False,True,2,,False,False,False,False,{'name': 'Brusubi 1st Phase'},,Brusubi 1st Phase
1,True,3,yearly,False,13.398662,"Fully furnished apartment with 2 boys quarters, an outdoor kitchen and a guest toilet. The Apartment has a wide front space with a beautiful garden and wide back yard",400000.0,True,True,True,-16.732842,True,cj9sol5i50xup016035eqkr82,False,True,3,,True,False,False,False,{'name': 'Brusubi 1st Phase'},,Brusubi 1st Phase
2,False,4,,False,,4 Bedroom Family Home at Kerr Serign,4500000.0,False,False,False,,True,cj9swdc7b62eo0160cs4xluez,False,True,5,,False,False,False,False,{'name': 'Senegambia'},,Senegambia
3,False,4,,False,,Fully Furnished Story Building at Brufut,7000000.0,True,False,False,,False,cj9swsow968mg0131kaw103ld,False,True,5,,False,False,False,True,{'name': 'Brufut'},,Brufut
4,False,3,monthly,False,13.386406,Fully furnished family house with a  boys quarter,4500000.0,True,False,False,-16.754804,True,cj9twpvt2zjxr0131obez74wf,False,True,2,,True,False,False,False,{'name': 'Kerr Serign'},,Kerr Serign
5,False,4,yearly,False,13.441401,"Nice family house apartment with nice garden, generator room",800000.0,False,False,True,-16.717864,True,cj9tykyly0auv01165fv08906,False,True,2,,False,False,False,False,{'name': 'Senegambia'},,Senegambia
6,False,6,yearly,False,13.372802,Fully furnished family apartment,566700.0,False,False,False,-16.693707,True,cj9u2b0id296k017516al1l1i,False,True,6,,True,False,False,False,{'name': 'Old Yundum'},,Old Yundum
7,True,3,,False,13.386406,A large family house with a guest toilet,2600000.0,False,False,False,-16.754804,True,cj9u2lt0b296f0146dmey33nq,False,True,3,,False,False,False,False,{'name': 'Kerr Serign'},,Kerr Serign
8,False,4,,False,13.394716,Double storey family complex with a built up area of  266(m2),6566360.0,False,False,True,-16.715174,True,cj9wv0xot1hxj0175cy1sjzvd,False,True,3,,False,False,False,False,{'name': 'Salagi'},,Salagi
9,False,3,,False,13.394716,Double storey family complex with a built up area of 169(m2),4676760.0,False,False,True,-16.715174,True,cj9wvqwe43aoy0160j9nt03a5,False,True,2,,False,False,False,False,{'name': 'Salagi'},,Salagi
10,False,2,monthly,False,,"Beautiful apartment with a large front yard, each apartment has its own cash power meter",2500.0,False,False,False,,True,cja9s342x14tm0195ft6yzg0z,False,True,2,,False,False,False,False,{'name': 'Busumbala'},False,Busumbala
11,False,5,,False,,Fully furnished family complex home with a beautiful building structure,7000000.0,False,False,True,,True,cja9txi771vuz016406oso9rw,False,True,5,,True,False,False,True,{'name': 'Brufut Garden'},True,Brufut Garden
12,False,2,monthly,False,,"Fully furnished holiday apartment with a nice bantaba, swimming pool and a garden",20000.0,False,False,True,,True,cjaa083w065e80103wbyk375p,False,True,2,,True,True,False,True,{'name': 'Latrikunda German'},True,Latrikunda German
